
[Onsemi AR0147 regdump]
REG= 0x2306, 0x0000
REG= 0x2308, 0x0000
REG= 0x230A, 0x0000
REG= 0x230C, 0x0000
REG= 0x230E, 0x0000
REG= 0x2310, 0xFFFF
REG= 0x2312, 0xFFFF
REG= 0x2314, 0xFFFF
REG= 0x2500, 0x0000
REG= 0x2512, 0x0306
REG= 0x2520, 0x1FFF
REG= 0x2522, 0x1FFF
REG= 0x2600, 0x0000
REG= 0x2602, 0x0000
REG= 0x2604, 0x0000
REG= 0x2606, 0x0000
REG= 0x2608, 0x0000
REG= 0x260A, 0x0000
REG= 0x260C, 0x0000
REG= 0x260E, 0x0000
REG= 0x2610, 0x0000
REG= 0x2612, 0x0000
REG= 0x2614, 0x0000
REG= 0x2616, 0x0000
REG= 0x2618, 0xFFFD
REG= 0x261A, 0xFFFD
REG= 0x261C, 0xFFFF
REG= 0x261E, 0xFFFE
REG= 0x2620, 0x0000
REG= 0x2622, 0x0000
REG= 0x2624, 0x0000
REG= 0x2626, 0x0000
REG= 0x2628, 0x0000
REG= 0x262A, 0x0000
REG= 0x262C, 0x0000
REG= 0x262E, 0x0000
REG= 0x2630, 0x0000
REG= 0x2632, 0x0000
REG= 0x2634, 0x0000
REG= 0x2636, 0x0000
REG= 0x2638, 0x0000
REG= 0x263A, 0x0000
REG= 0x263C, 0x0000
REG= 0x263E, 0x0000
REG= 0x2640, 0x0000
REG= 0x2642, 0x0000
REG= 0x2644, 0x0000
REG= 0x2646, 0x0000
REG= 0x2648, 0x0000
REG= 0x264A, 0x0000
REG= 0x264C, 0x0000
REG= 0x264E, 0x0000
REG= 0x2650, 0x0000
REG= 0x2652, 0x0000
REG= 0x2654, 0x0000
REG= 0x2656, 0x0000
REG= 0x2658, 0x0000
REG= 0x265A, 0x0000
REG= 0x265C, 0x0000
REG= 0x265E, 0x0000
REG= 0x2660, 0x0000
REG= 0x2662, 0x0000
REG= 0x2664, 0x0000
REG= 0x2666, 0x0000
REG= 0x2668, 0x0000
REG= 0x266A, 0x0000
REG= 0x266C, 0x0000
REG= 0x266E, 0x0000
REG= 0x2670, 0x0000
REG= 0x2672, 0x0000
REG= 0x2674, 0x0000
REG= 0x2676, 0x0000
REG= 0x2678, 0x0000
REG= 0x267A, 0x0000
REG= 0x267C, 0x0000
REG= 0x267E, 0x0000
REG= 0x2680, 0x0000
REG= 0x2682, 0x0000
REG= 0x2684, 0x0000
REG= 0x2686, 0x0000
REG= 0x2688, 0x0000
REG= 0x268A, 0x0000
REG= 0x268C, 0x0000
REG= 0x268E, 0x0000
REG= 0x2690, 0x0000
REG= 0x2692, 0x0000
REG= 0x2694, 0x0000
REG= 0x2696, 0x0000
REG= 0x2698, 0xFFFD
REG= 0x269A, 0xFFFE
REG= 0x269C, 0x0000
REG= 0x269E, 0xFFFE
REG= 0x26A0, 0x0000
REG= 0x26A2, 0x0000
REG= 0x26A4, 0x0000
REG= 0x26A6, 0x0000
REG= 0x26A8, 0x0000
REG= 0x26AA, 0x0000
REG= 0x26AC, 0x0000
REG= 0x26AE, 0x0000
REG= 0x26B0, 0x0000
REG= 0x26B2, 0x0000
REG= 0x26B4, 0x0000
REG= 0x26B6, 0x0000
REG= 0x26B8, 0x0000
REG= 0x26BA, 0x0000
REG= 0x26BC, 0x0000
REG= 0x26BE, 0x0000
REG= 0x26C0, 0x0000
REG= 0x26C2, 0x0000
REG= 0x26C4, 0x0000
REG= 0x26C6, 0x0000
REG= 0x26C8, 0x0000
REG= 0x26CA, 0x0000
REG= 0x26CC, 0x0000
REG= 0x26CE, 0x0000
REG= 0x26D0, 0x0000
REG= 0x26D2, 0x0000
REG= 0x26D4, 0x0000
REG= 0x26D6, 0x0000
REG= 0x26D8, 0x0000
REG= 0x26DA, 0x0000
REG= 0x26DC, 0x0000
REG= 0x26DE, 0x0000
REG= 0x26E0, 0x0000
REG= 0x26E2, 0x0000
REG= 0x26E4, 0x0000
REG= 0x26E6, 0x0000
REG= 0x26E8, 0x0000
REG= 0x26EA, 0x0000
REG= 0x26EC, 0x0000
REG= 0x26EE, 0x0000
REG= 0x26F0, 0x0000
REG= 0x26F2, 0x0000
REG= 0x26F4, 0x0000
REG= 0x26F6, 0x0000
REG= 0x26F8, 0x0000
REG= 0x26FA, 0x0000
REG= 0x26FC, 0x0000
REG= 0x26FE, 0x0000
REG= 0x2700, 0x0000
REG= 0x2702, 0x0000
REG= 0x2704, 0x0000
REG= 0x2706, 0x0000
REG= 0x2708, 0x0000
REG= 0x270A, 0x0000
REG= 0x270C, 0x0000
REG= 0x270E, 0x0000
